inf_prob,diag_prob,i0,behaviour_change,behaviour_change_rate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,total_immunized,LL
0.89,0.24,11.0,0.8,0.01,0.0,78.0,728.0,3956.0,5489.0,999.0,634.0,443.0,239.0,91.0,33.0,12.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24320.0,-inf
0.85,0.35,15.0,0.6,0.0005,0.0,4.0,41.0,320.0,1393.0,2656.0,2763.0,1915.0,1130.0,613.0,274.0,96.0,38.0,17.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21268.0,-inf
0.3,0.38,10.0,0.7,0.05,0.0,593.0,1598.0,2281.0,1382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,-inf
0.77,0.38,13.0,0.8,0.1,0.0,1534.0,5431.0,5465.0,816.0,25.0,14.0,12.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12130.0,-1497.7250923374938
0.4,0.4,7.0,0.7,5e-05,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-inf
0.7,0.26,6.0,0.9,0.01,0.0,84.0,143.0,336.0,1006.0,2786.0,4186.0,3359.0,1001.0,169.0,69.0,38.0,16.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10278.0,-619.013604589716
0.74,0.29,14.0,0.2,0.0005,0.0,15.0,29.0,71.0,92.0,235.0,664.0,1386.0,2138.0,2538.0,2066.0,1401.0,853.0,445.0,230.0,111.0,35.0,23.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13030.0,-1283.3831210549192
0.95,0.24,15.0,0.5,0.1,0.0,1897.0,9443.0,290.0,522.0,380.0,202.0,94.0,27.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30460.0,-inf
0.65,0.31,7.0,0.5,0.001,0.0,13.0,33.0,48.0,75.0,133.0,329.0,658.0,1142.0,1803.0,2437.0,2385.0,1836.0,1058.0,507.0,204.0,91.0,34.0,13.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,8407.0,-1435.9699233963331
0.71,0.38,12.0,0.7,0.001,0.0,36.0,49.0,150.0,408.0,783.0,1548.0,2526.0,3022.0,2273.0,1135.0,409.0,186.0,59.0,40.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10285.0,-1178.9496741751418
