inf_rate,diag_prob,i0,behaviour_change,behaviour_change_rate
0.6921262352367203,0.20418566538474764,8.0,0.0,0.0
0.7338223028250288,0.1112535269901681,8.0,0.0,0.0
0.6866949131431191,0.1669064961868455,11.0,0.0,0.0
0.6270380420360513,0.1501958432486379,10.0,0.0,0.0
0.6255011960957642,0.1702617892631358,13.0,0.0,0.0
0.688902527477445,0.1488637367512185,10.0,0.0,0.0
0.7417979015964987,0.08053408466827475,6.0,0.0,0.0
0.6890284353009458,0.1499404761854901,11.0,0.0,0.0
0.7518263759882884,0.1350155966610837,4.0,0.0,0.0
0.6762692487833551,0.12343279013756953,5.0,0.0,0.0
0.6816439630130092,0.1867234014284847,13.0,0.0,0.0
0.6595663203972033,0.0844123804915208,15.0,0.0,0.0
0.6836530156042978,0.14931906049909943,18.0,0.0,0.0
0.6964410177937919,0.13705868596968848,13.0,0.0,0.0
0.6952088932862844,0.18971753422827256,14.0,0.0,0.0
0.6690731973042414,0.21219252371377909,19.0,0.0,0.0
0.6671773658484079,0.2101488148767001,9.0,0.0,0.0
0.6576592090717431,0.12501992045642818,9.0,0.0,0.0
0.6562232088648392,0.18406960717781967,15.0,0.0,0.0
0.6510620719658458,0.13174580043884188,13.0,0.0,0.0
0.690153506053433,0.1554185858388315,14.0,0.0,0.0
0.6973018588646062,0.15031288183173339,8.0,0.0,0.0
0.6895184483529828,0.19281115364169774,15.0,0.0,0.0
0.6953989952684737,0.16705202675121522,9.0,0.0,0.0
0.6357802659729916,0.19610575757336018,13.0,0.0,0.0
0.6884740836319939,0.12451702994482718,9.0,0.0,0.0
0.7412952755830539,0.08846739588378373,18.0,0.0,0.0
0.6990819202644094,0.12622561101895347,7.0,0.0,0.0
0.6613604580176174,0.1991660871567923,18.0,0.0,0.0
0.620635793116522,0.1466195460743869,13.0,0.0,0.0
0.6475718394857823,0.15951406723820766,10.0,0.0,0.0
0.7366940919733365,0.0856069100903689,7.0,0.0,0.0
0.6757785781763214,0.1364234716379144,9.0,0.0,0.0
0.677877662504575,0.1401158362708682,13.0,0.0,0.0
0.6810834779543739,0.11628823126967124,11.0,0.0,0.0
0.7173290997290886,0.09002278262262427,12.0,0.0,0.0
0.6104410685486108,0.18056661849416464,17.0,0.0,0.0
0.6075253978148554,0.17512446710574942,12.0,0.0,0.0
