t,Rectum,Semen,Model
5.37,,,0.0027599999999998737
5.38,,,0.002729999999999899
5.39,,,0.00266999999999995
5.4,,,0.0026199999999999557
5.41,,,0.0025799999999999157
5.42,,,0.002549999999999941
5.43,,,0.0024999999999999467
5.44,,,0.0024199999999999777
5.45,,,0.0023699999999999832
5.46,,,0.0023499999999999632
5.47,,,0.0023199999999999887
5.48,,,0.0022900000000000142
5.49,,,0.0022400000000000198
5.5,,,0.0021299999999999653
5.51,,,0.0021200000000000108
5.52,,,0.0020799999999999708
5.53,,,0.0020399999999999308
5.54,,,0.0019999999999998908
5.55,,,0.0019599999999998508
5.56,,,0.0018999999999999018
5.57,,,0.0018699999999999273
5.58,,,0.0018299999999998873
5.59,,,0.0017899999999998473
5.6,,,0.0017699999999998273
5.61,,,0.0017499999999998073
5.62,,,0.0017199999999998328
5.63,,,0.0016799999999997928
5.64,,,0.0016399999999997528
5.65,,,0.0016099999999997783
5.67,,,0.0015799999999998038
5.68,,,0.0015299999999998093
5.69,,,0.0014899999999997693
5.690633869441816,,0.0385487528344671,
5.7,,,0.0014399999999997748
5.71,,,0.0013999999999997348
5.72,,,0.0013799999999997148
5.73,,,0.0013399999999996748
5.74,,,0.0013199999999996548
5.75,,,0.0012799999999996148
5.76,,,0.0012299999999996203
5.77,,,0.0011999999999996458
5.78,,,0.0011899999999996913
5.79,,,0.0011799999999997368
5.81,,,0.0011499999999997623
5.82,,,0.0011399999999998078
5.83,,,0.0010999999999997678
5.84,,,0.0010799999999997478
5.85,,,0.0010699999999997933
5.86,,,0.0010599999999998388
5.87,,,0.0010499999999998844
5.88,,,0.0010299999999998644
5.9,,,0.0009999999999998899
5.91,,,0.0009699999999999154
5.92,,,0.0009599999999999609
5.93,,,0.0009199999999999209
5.94,,,0.0009099999999999664
5.95,,,0.0008799999999999919
5.96,,,0.0008599999999999719
5.97,,,0.0008399999999999519
5.98,,,0.0007999999999999119
5.99,,,0.0007899999999999574
6.0,,,0.0007599999999999829
6.01,,,0.0007399999999999629
6.031220435193945,,0.0090702947845804,
6.05,,,0.0007199999999999429
6.06,,,0.0007099999999999884
6.07,,,0.0007000000000000339
6.08,,,0.0006599999999999939
6.09,,,0.0006500000000000394
6.1,,,0.0006300000000000194
6.13,,,0.0006099999999999994
6.16,,,0.0005899999999999794
6.17,,,0.0005699999999999594
6.18,,,0.0005399999999999849
6.19,,,0.0005199999999999649
6.2,,,0.0005100000000000104
6.21,,,0.000500000000000056
6.22,,,0.0004900000000001015
6.25,,,0.000480000000000147
6.2648315140009485,0.0113378684807256,,
6.27,,,0.0004700000000001925
6.28,,,0.000460000000000238
6.3,,,0.0004500000000002835
6.32,,,0.000440000000000329
6.34,,,0.0004300000000003745
6.36,,,0.00042000000000042004
6.37,,,0.00041000000000046555
6.38,,,0.00039000000000044555
6.4072140484100615,0.0022675736961451,,
6.41,,,0.00038000000000049106
6.44,,,0.00035000000000051656
6.45,,,0.0003400000000005621
6.47,,,0.0003300000000006076
6.51,,,0.0003200000000006531
6.53,,,0.0003100000000006986
6.54,,,0.0003000000000007441
6.55,,,0.0002900000000007896
6.56,,,0.00028000000000083514
6.58,,,0.00027000000000088065
6.62,,,0.00026000000000092616
6.63,,,0.00025000000000097167
6.67,,,0.00023000000000095167
6.68,,,0.00022000000000099718
6.7,,,0.00021000000000104269
6.75,,,0.0002000000000010882
6.76,,,0.0001900000000011337
6.79,,,0.00018000000000117922
6.81,,,0.00016000000000115921
6.83,,,0.00015000000000120473
6.85,,,0.00014000000000125024
6.86,,,0.00013000000000129575
6.93,,,0.00012000000000134126
6.97,,,0.00011000000000138677
7.0,,,0.00010000000000143228
7.18,,,9.000000000147779e-05
7.2,,,7.000000000145779e-05
7.28,,,6.0000000001503295e-05
7.33,,,5.0000000001548806e-05
7.51,,,4.0000000001594316e-05
7.59,,,3.0000000001639826e-05
7.66,,,2.0000000001685336e-05
7.69,,,1.0000000001730847e-05
8.29,,,1.7763568394002505e-15
8.44328429046037,0.0022675736961451,,
8.4720908230842,,0.0022675736961451,
