inf_prob,diag_prob,i0,behaviour_change,behaviour_change_rate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,total_immunized,LL
0.44,0.31,13.0,0.9,0.0005,0.0,4.0,20.0,19.0,39.0,49.0,44.0,73.0,85.0,102.0,105.0,109.0,123.0,107.0,143.0,145.0,129.0,175.0,167.0,154.0,174.0,179.0,185.0,182.0,185.0,170.0,14092.0,-inf
0.72,0.3,10.0,0.5,0.01,0.0,113.0,274.0,686.0,1168.0,2503.0,4171.0,3333.0,661.0,109.0,73.0,27.0,15.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19493.0,-641.5000770104753
0.22,0.34,6.0,0.2,0.5,0.0,3550.0,2694.0,3601.0,2292.0,942.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13860.0,-inf
0.79,0.4,12.0,0.1,0.001,0.0,18.0,69.0,194.0,446.0,1549.0,3278.0,3346.0,1867.0,729.0,330.0,135.0,53.0,19.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21949.0,-2889.576099097501
0.67,0.41,5.0,0.4,0.01,0.0,99.0,256.0,235.0,264.0,206.0,233.0,294.0,289.0,396.0,441.0,563.0,1341.0,2160.0,2503.0,1488.0,370.0,42.0,12.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,17125.0,-inf
0.94,0.25,7.0,0.5,0.001,0.0,7.0,296.0,1832.0,2489.0,2314.0,2063.0,1206.0,576.0,198.0,75.0,22.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34311.0,-inf
0.49,0.31,5.0,0.8,0.0005,0.0,3.0,5.0,5.0,4.0,3.0,5.0,30.0,41.0,55.0,72.0,78.0,80.0,111.0,143.0,212.0,258.0,327.0,391.0,356.0,432.0,423.0,385.0,354.0,347.0,359.0,14589.0,-inf
0.32,0.38,15.0,0.9,0.001,0.0,8.0,31.0,46.0,50.0,69.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13871.0,-inf
0.33,0.34,9.0,0.3,5e-05,0.0,1.0,4.0,4.0,2.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13864.0,-inf
0.84,0.34,6.0,0.5,0.001,0.0,13.0,94.0,568.0,2266.0,3645.0,2689.0,1298.0,672.0,348.0,145.0,56.0,19.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25488.0,-inf
0.2,0.37,15.0,0.7,0.1,0.0,869.0,1197.0,2010.0,2760.0,2119.0,1416.0,952.0,620.0,451.0,327.0,222.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13863.0,-inf
0.54,0.42,8.0,0.3,0.005,0.0,103.0,205.0,251.0,457.0,643.0,998.0,1282.0,1392.0,1523.0,1531.0,1226.0,1023.0,772.0,476.0,343.0,127.0,56.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14918.0,-4022.405492032931
0.33,0.28,8.0,0.9,0.001,0.0,6.0,9.0,8.0,11.0,6.0,4.0,6.0,11.0,24.0,28.0,35.0,28.0,39.0,52.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13871.0,-inf
0.95,0.31,12.0,0.6,0.0001,0.0,2.0,35.0,260.0,641.0,1253.0,1805.0,1922.0,1510.0,980.0,558.0,282.0,138.0,63.0,43.0,20.0,9.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35680.0,-inf
0.88,0.24,15.0,0.3,0.5,0.0,4874.0,8170.0,164.0,51.0,34.0,15.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25659.0,-2671.0014793063283
0.99,0.41,6.0,0.5,5e-05,0.0,7.0,57.0,294.0,1052.0,1697.0,1490.0,1218.0,803.0,467.0,292.0,182.0,95.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38230.0,-inf
0.61,0.29,6.0,0.8,0.001,0.0,12.0,34.0,83.0,116.0,208.0,476.0,901.0,1367.0,1966.0,2085.0,1855.0,1327.0,826.0,417.0,197.0,73.0,27.0,12.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,17833.0,-822.1986309192241
0.82,0.38,11.0,0.7,0.05,0.0,600.0,3713.0,7778.0,891.0,104.0,50.0,27.0,14.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22614.0,-2764.661130433263
0.26,0.31,5.0,0.1,0.0005,0.0,5.0,5.0,4.0,11.0,24.0,12.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13860.0,-inf
0.63,0.38,14.0,0.7,5e-05,0.0,0.0,2.0,4.0,5.0,9.0,18.0,31.0,75.0,109.0,204.0,287.0,341.0,468.0,526.0,513.0,486.0,476.0,429.0,363.0,360.0,288.0,255.0,234.0,205.0,197.0,18445.0,-1985.3838532985076
0.87,0.32,5.0,0.4,5e-05,0.0,1.0,3.0,17.0,130.0,331.0,587.0,926.0,1160.0,1191.0,1116.0,935.0,695.0,515.0,401.0,278.0,231.0,162.0,100.0,89.0,59.0,32.0,0.0,0.0,0.0,0.0,28835.0,-inf
0.93,0.28,15.0,0.5,0.1,0.0,2790.0,9361.0,330.0,235.0,197.0,115.0,37.0,13.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30661.0,-inf
0.15,0.42,10.0,0.4,0.5,0.0,8295.0,4057.0,799.0,166.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13858.0,-inf
0.89,0.24,11.0,0.8,0.01,0.0,91.0,923.0,5413.0,3956.0,768.0,713.0,403.0,186.0,89.0,30.0,11.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28836.0,-inf
0.85,0.35,15.0,0.6,0.0005,0.0,5.0,42.0,227.0,1035.0,2441.0,2847.0,2126.0,1403.0,726.0,293.0,130.0,38.0,12.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26345.0,-inf
0.3,0.38,10.0,0.7,0.05,0.0,615.0,1130.0,1405.0,1206.0,1055.0,969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13864.0,-inf
0.77,0.38,13.0,0.8,0.1,0.0,1420.0,3625.0,6096.0,2105.0,59.0,8.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20809.0,-1530.896802099238
0.4,0.4,7.0,0.7,5e-05,0.0,0.0,3.0,5.0,1.0,1.0,3.0,6.0,8.0,8.0,9.0,11.0,14.0,11.0,6.0,7.0,9.0,15.0,5.0,10.0,4.0,19.0,2.0,0.0,0.0,0.0,13917.0,-inf
0.7,0.26,6.0,0.9,0.01,0.0,90.0,86.0,164.0,924.0,2055.0,3608.0,4069.0,1762.0,288.0,100.0,34.0,11.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19565.0,-672.3240192915804
0.74,0.29,14.0,0.2,0.0005,0.0,8.0,25.0,60.0,156.0,417.0,1027.0,1797.0,2358.0,2374.0,1698.0,1020.0,509.0,255.0,131.0,42.0,23.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21190.0,-1732.5034873699458
0.95,0.24,15.0,0.5,0.1,0.0,1847.0,9520.0,304.0,509.0,402.0,166.0,79.0,37.0,11.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33163.0,-inf
0.65,0.31,7.0,0.5,0.001,0.0,16.0,57.0,56.0,116.0,278.0,642.0,1253.0,2063.0,2633.0,2324.0,1451.0,785.0,345.0,126.0,60.0,18.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18634.0,-709.2393474151322
0.71,0.38,12.0,0.7,0.001,0.0,17.0,41.0,95.0,342.0,954.0,2100.0,2899.0,2864.0,1885.0,811.0,252.0,103.0,42.0,18.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19898.0,-1586.1082441389224
0.49,0.4,11.0,0.5,0.1,0.0,1484.0,2547.0,2677.0,2520.0,1782.0,1079.0,654.0,351.0,171.0,67.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14122.0,-inf
0.23,0.26,15.0,0.6,0.5,0.0,3542.0,2910.0,3231.0,1750.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13859.0,-inf
0.94,0.29,7.0,0.5,5e-05,0.0,0.0,22.0,150.0,321.0,704.0,1158.0,1377.0,1389.0,1149.0,892.0,625.0,430.0,304.0,194.0,116.0,124.0,85.0,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,34990.0,-inf
0.17,0.41,8.0,0.5,0.001,0.0,10.0,10.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13857.0,-inf
0.42,0.25,7.0,0.6,0.005,0.0,30.0,46.0,49.0,86.0,75.0,86.0,90.0,139.0,123.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13865.0,-inf
0.47,0.24,13.0,0.3,0.001,0.0,17.0,29.0,29.0,22.0,32.0,63.0,115.0,176.0,212.0,342.0,478.0,501.0,572.0,588.0,643.0,667.0,671.0,636.0,644.0,541.0,444.0,339.0,301.0,242.0,162.0,14828.0,-3600.487759917242
0.14,0.35,14.0,0.5,0.005,0.0,129.0,250.0,254.0,229.0,250.0,244.0,233.0,228.0,226.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13862.0,-inf
0.41,0.26,6.0,0.7,0.001,0.0,7.0,13.0,26.0,48.0,60.0,55.0,75.0,127.0,187.0,200.0,210.0,207.0,231.0,249.0,278.0,257.0,284.0,245.0,214.0,231.0,231.0,214.0,202.0,206.0,159.0,14023.0,-inf
0.47,0.34,14.0,0.8,5e-05,0.0,0.0,5.0,3.0,2.0,6.0,13.0,19.0,16.0,31.0,25.0,44.0,63.0,77.0,83.0,99.0,90.0,101.0,98.0,111.0,116.0,120.0,112.0,105.0,113.0,106.0,15110.0,-3959.571753656061
0.03,0.26,15.0,0.9,0.01,0.0,95.0,146.0,172.0,170.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13858.0,-inf
0.59,0.42,5.0,0.6,0.5,0.0,4088.0,4290.0,3483.0,1065.0,337.0,74.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15559.0,-11083.175715561303
0.12,0.31,11.0,0.1,0.005,0.0,73.0,82.0,95.0,90.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13857.0,-inf
0.88,0.37,8.0,0.1,0.0001,0.0,2.0,5.0,58.0,337.0,753.0,1296.0,1620.0,1667.0,1518.0,1018.0,689.0,373.0,214.0,105.0,54.0,36.0,17.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,29048.0,-inf
0.01,0.31,6.0,0.7,0.005,0.0,40.0,39.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13855.0,-inf
